,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,geo_uid,ct_name,avg_rent_2016,avg_dwelling_cost_2016,median_income_2016,income_monthly_2016,pct_income_rent_2016,years_to_save_2016,advocado_2016
3541,9330049.02,49.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330049.02,49.02,1351,822354,78176,6514.67,20.74,4.86,270.2
2950,9330160.02,160.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330160.02,160.02,1245,1141434,88704,7392.00,16.84,19.38,249
1204,9330404.02,404.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330404.02,404.02,1290,811729,118848,9904.00,13.03,4.77,258
997,9330503.09,503.09,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330503.09,503.09,962,276842,55616,4634.67,20.76,1.18,192.4
3789,9330503.01,503.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330503.01,503.01,1217,732596,109466,9122.17,13.34,4.10,243.4
4939,9330040.02,40.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330040.02,40.02,1237,747629,59975,4997.92,24.75,4.22,247.4
4123,9330183.03,183.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330183.03,183.03,1016,547775,69120,5760.00,17.64,2.53,203.2
5346,9330260.07,260.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330260.07,260.07,1219,589030,82615,6884.58,17.71,2.88,243.8
5127,9330401.01,401.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330401.01,401.01,925,499025,61824,5152.00,17.95,2.12,185
4099,9330502.03,502.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330502.03,502.03,1160,779989,103753,8646.08,13.42,4.50,232
4890,9330039.01,39.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330039.01,39.01,1246,1031327,67191,5599.25,22.25,17.51,249.2
2088,9330044,44,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330044,44,1269,2786952,83456,6954.67,18.25,47.32,253.8
971,9330205.01,205.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330205.01,205.01,891,565573,45483,3790.25,23.51,2.68,178.2
5169,9330047.01,47.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330047.01,47.01,1421,1030414,70459,5871.58,24.20,17.50,284.2
5648,9330182.02,182.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330182.02,182.02,1241,770239,118912,9909.33,12.52,4.42,248.2
4891,9330039.02,39.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330039.02,39.02,1354,658383,70459,5871.58,23.06,3.47,270.8
2080,9330038,38,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330038,38,1196,756025,67776,5648.00,21.18,4.30,239.2
1262,9330183.08,183.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330183.08,183.08,1244,506258,83063,6921.92,17.97,2.18,248.8
4229,9330504.03,504.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330504.03,504.03,1278,781780,109504,9125.33,14.00,4.51,255.6
5090,9330403.05,403.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330403.05,403.05,1141,638779,99541,8295.08,13.76,3.30,228.2
2092,9330048,48,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330048,48,1387,974609,67149,5595.75,24.79,6.15,277.4
5562,9330400.05,400.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330400.05,400.05,1207,558203,100238,8353.17,14.45,2.62,241.4
5679,9330184.11,184.11,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330184.11,184.11,819,922825,91040,7586.67,10.80,5.71,163.8
5591,9330161.05,161.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330161.05,161.05,1165,896337,94400,7866.67,14.81,5.49,233
5179,9330204.01,204.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330204.01,204.01,1008,390400,53157,4429.75,22.76,1.66,201.6
996,9330503.08,503.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330503.08,503.08,1031,339291,57173,4764.42,21.64,1.44,206.2
2931,9330260.12,260.12,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330260.12,260.12,1161,681195,76160,6346.67,18.29,3.66,232.2
2187,9330209,209,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330209,209,1302,669254,84130,7010.83,18.57,3.56,260.4
5174,9330403.04,403.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330403.04,403.04,1144,624112,94976,7914.67,14.45,3.18,228.8
3523,9330049.01,49.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330049.01,49.01,1709,814643,89971,7497.58,22.79,4.79,341.8
4938,9330040.01,40.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330040.01,40.01,1220,649750,53606,4467.17,27.31,3.39,244
3986,9330505.04,505.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330505.04,505.04,1188,1186297,111488,9290.67,12.79,20.14,237.6
1899,9330504.07,504.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330504.07,504.07,1192,479162,79360,6613.33,18.02,2.03,238.4
1744,9330206,206,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330206,206,1201,345210,63502,5291.83,22.70,1.47,240.2
5170,9330047.02,47.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330047.02,47.02,1399,601023,66901,5575.08,25.09,2.98,279.8
3784,9330402.02,402.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330402.02,402.02,1120,566265,83552,6962.67,16.09,2.69,224
5459,9330183.07,183.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330183.07,183.07,1158,811550,105259,8771.58,13.20,4.77,231.6
5656,9330184.1,184.1,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330184.1,184.1,764,857572,77995,6499.58,11.75,5.16,152.8
3358,9330161.03,161.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330161.03,161.03,1212,826047,93568,7797.33,15.54,4.89,242.4
5557,9330110.04,110.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330110.04,110.04,1451,1393892,125184,10432.00,13.91,23.67,290.2
4829,9330140.02,140.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330140.02,140.02,1355,980101,88858,7404.83,18.30,6.20,271
4940,9330041.01,41.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330041.01,41.01,1363,804606,64402,5366.83,25.40,4.71,272.6
3782,9330291.01,291.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330291.01,291.01,993,589548,66125,5510.42,18.02,2.88,198.6
5085,9330170.03,170.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330170.03,170.03,1063,422524,48192,4016.00,26.47,1.79,212.6
2104,9330185.18,185.18,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330185.18,185.18,868,1041187,93440,7786.67,11.15,17.68,173.6
1741,9330203,203,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330203,203,1164,1061615,90112,7509.33,15.50,18.03,232.8
1552,9330410.06,410.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330410.06,410.06,1487,694930,114592,9549.33,15.57,3.78,297.4
5128,9330401.02,401.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330401.02,401.02,931,347089,51085,4257.08,21.87,1.47,186.2
3781,9330290.02,290.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330290.02,290.02,1149,317086,60907,5075.58,22.64,1.35,229.8
992,9330503.06,503.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330503.06,503.06,1044,257081,54912,4576.00,22.81,1.09,208.8
