,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,geo_uid,ct_name,avg_rent_2016,avg_dwelling_cost_2016,median_income_2016,income_monthly_2016,pct_income_rent_2016,years_to_save_2016,advocado_2016
2933,9330052.01,52.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330052.01,52.01,1043,1357318,53595,4466.25,23.35,23.05,208.6
4984,9330144.06,144.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330144.06,144.06,1309,1138645,77440,6453.33,20.28,19.33,261.8
2107,9330022,22,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330022,22,1566,1386395,56544,4712.00,33.23,23.54,313.2
4943,9330043.02,43.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330043.02,43.02,1956,3034089,98645,8220.42,23.79,51.52,391.2
751,9330287.1,287.1,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330287.1,287.1,1399,1118114,102528,8544.00,16.37,18.99,279.8
2495,9330181.1,181.1,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330181.1,181.1,1657,944697,73941,6161.75,26.89,5.90,331.4
2192,9330067.02,67.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330067.02,67.02,1783,1416414,63206,5267.17,33.85,24.05,356.6
2126,9330120,120,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330120,120,2286,1835533,118528,9877.33,23.14,31.17,457.2
2127,9330121,121,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330121,121,2244,2249176,139410,11617.50,19.32,38.19,448.8
2166,9330146,146,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330146,146,1489,987082,80939,6744.92,22.08,6.26,297.8
4982,9330144.04,144.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330144.04,144.04,1316,923777,64358,5363.17,24.54,5.72,263.2
2915,9330143.01,143.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330143.01,143.01,1477,1252544,88883,7406.92,19.94,21.27,295.4
783,9330287.12,287.12,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330287.12,287.12,1457,926179,84261,7021.75,20.75,5.74,291.4
4959,9330006.02,6.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330006.02,6.02,1226,1969471,66125,5510.42,22.25,33.44,245.2
4096,9330162.04,162.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330162.04,162.04,2040,1035554,117632,9802.67,20.81,17.58,408
5089,9330221.04,221.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330221.04,221.04,1130,1533813,67021,5585.08,20.23,26.04,226
5063,9330151.03,151.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330151.03,151.03,1445,897375,84224,7018.67,20.59,5.50,289
5046,9330235.03,235.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330235.03,235.03,1173,308470,42510,3542.50,33.11,1.31,234.6
4969,9330227.01,227.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330227.01,227.01,1086,550379,40425,3368.75,32.24,2.55,217.2
5633,9330188.01,188.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330188.01,188.01,1565,1113147,99584,8298.67,18.86,18.90,313
1115,9330130.03,130.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330130.03,130.03,1512,1274669,50400,4200.00,36.00,21.64,302.4
2108,9330023,23,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330023,23,2015,3107300,111360,9280.00,21.71,52.76,403
722,9330225.01,225.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330225.01,225.01,1380,1480510,77141,6428.42,21.47,25.14,276
2919,9330149.02,149.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330149.02,149.02,1407,1400738,78037,6503.08,21.64,23.79,281.4
5644,9330181.09,181.09,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330181.09,181.09,1977,1524301,96329,8027.42,24.63,25.88,395.4
4958,9330006.01,6.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330006.01,6.01,1314,2028076,67123,5593.58,23.49,34.44,262.8
625,9330151.06,151.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330151.06,151.06,1321,961706,87680,7306.67,18.08,6.04,264.2
5044,9330228.03,228.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330228.03,228.03,1255,523380,47531,3960.92,31.68,2.32,251
4110,9330010.01,10.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330010.01,10.01,1490,2242269,58197,4849.75,30.72,38.07,298
2128,9330122,122,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330122,122,2285,1714427,126976,10581.33,21.59,29.11,457
629,9330147.08,147.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330147.08,147.08,1211,389044,48081,4006.75,30.22,1.65,242.2
