geo_uid,ct_name,avg_value_dwellings_2011,avg_rent_monthly_2011,avg_income_2011,avg_income_monthly_2011,pct_income_spent_rent_2011,years_to_save,advocados_rent
9330110.04,110.04,891081,1237,55702,4641.83,26.65,10.42,268.91
9330015.01,15.01,892680,833,29319,2443.25,34.09,10.45,181.09
9330243.01,243.01,893182,1049,37579,3131.58,33.5,10.46,228.04
9330110.02,110.02,901102,1466,54825,4568.75,32.09,10.59,318.7
9330111.02,111.02,908644,1141,56393,4699.42,24.28,10.71,248.04
9330181.09,181.09,932250,1373,66636,5553,24.73,11.09,298.48
9330231,231,933286,1262,45418,3784.83,33.34,11.11,274.35
9330145.01,145.01,939767,1221,31436,2619.67,46.61,11.21,265.43
9330030,30,940997,1111,44010,3667.5,30.29,11.23,241.52
9330181.08,181.08,954969,1640,51020,4251.67,38.57,11.46,356.52
9330002.03,2.03,958593,946,30630,2552.5,37.06,11.52,205.65
9330143.04,143.04,959264,1594,35001,2916.75,54.65,11.53,346.52
9330143.03,143.03,963942,1026,33949,2829.08,36.27,11.61,223.04
9330012,12,964273,937,37594,3132.83,29.91,11.61,203.7
9330144.05,144.05,965379,1285,31595,2632.92,48.81,11.63,279.35
9330019,19,969405,1046,35100,2925,35.76,11.70,227.39
9330117,117,978615,1186,73930,6160.83,19.25,11.85,257.83
9330143.02,143.02,978891,740,31511,2625.92,28.18,11.85,160.87
9330110.03,110.03,985456,1055,57656,4804.67,21.96,11.96,229.35
9330067.02,67.02,992943,1470,46140,3845,38.23,12.08,319.57
9330185.08,185.08,993751,1672,61783,5148.58,32.47,12.09,363.48
9330120,120,1001468,2021,67072,5589.33,36.16,32.56,439.35
9330130.01,130.01,1005258,1537,64055,5337.92,28.79,32.69,334.13
9330119,119,1009587,1624,54215,4517.92,35.95,32.83,353.04
9330022,22,1014707,1345,40187,3348.92,40.16,32.99,292.39
9330149.06,149.06,1018903,1440,44895,3741.25,38.49,33.13,313.04
9330182.01,182.01,1027095,712,55123,4593.58,15.5,33.40,154.78
9330045.02,45.02,1053610,1294,51894,4324.5,29.92,34.26,281.3
9330122,122,1059919,1447,65247,5437.25,26.61,34.46,314.57
9330116,116,1067014,1513,63664,5305.33,28.52,34.69,328.91
9330181.12,181.12,1070723,1062,60410,5034.17,21.1,34.82,230.87
9330029,29,1079139,1294,53678,4473.17,28.93,35.09,281.3
9330236,236,1097692,1259,44770,3730.83,33.75,35.69,273.7
9330069,69,1106575,1314,38672,3222.67,40.77,35.98,285.65
9330031.01,31.01,1107491,1104,51001,4250.08,25.98,36.01,240
9330121,121,1107494,1475,65726,5477.17,26.93,36.01,320.65
9330006.02,6.02,1121293,1070,33137,2761.42,38.75,36.46,232.61
9330006.01,6.01,1153598,1208,37481,3123.42,38.68,37.51,262.61
9330149.07,149.07,1156070,1568,37500,3125,50.18,37.59,340.87
9330181.03,181.03,1200198,881,64032,5336,16.51,39.03,191.52
9330045.01,45.01,1234571,1357,63778,5314.83,25.53,40.14,295
9330149.05,149.05,1246493,1361,29505,2458.75,55.35,40.53,295.87
9330250.02,250.02,1250885,1123,77480,6456.67,17.39,40.67,244.13
9330042,42,1289089,1243,52132,4344.33,28.61,41.92,270.22
9330010.01,10.01,1344841,1470,47348,3945.67,37.26,43.73,319.57
9330131,131,1393534,1427,71399,5949.92,23.98,45.31,310.22
9330133.02,133.02,1433121,2061,95327,7943.92,25.94,46.60,448.04
9330133.01,133.01,1438169,1995,94524,7877,25.33,46.76,433.7
9330007.01,7.01,1523366,901,54875,4572.92,19.7,49.53,195.87
9330043.01,43.01,1548114,1299,59859,4988.25,26.04,50.34,282.39
9330027.01,27.01,1580482,1585,46474,3872.83,40.93,51.39,344.57
9330025,25,1591516,1455,67152,5596,26,51.75,316.3
9330027.02,27.02,1634704,1723,52821,4401.75,39.14,53.15,374.57
9330020,20,1649310,1384,49079,4089.92,33.84,53.63,300.87
9330009,9,1650288,1275,51876,4323,29.49,53.66,277.17
9330135,135,1651336,1818,76736,6394.67,28.43,53.69,395.22
9330026,26,1791925,1172,63510,5292.5,22.14,58.27,254.78
9330043.02,43.02,1796954,1431,76143,6345.25,22.55,58.43,311.09
9330008.02,8.02,1837206,1959,97110,8092.5,24.21,59.74,425.87
9330023,23,1889612,1621,72836,6069.67,26.71,61.44,352.39
9330134,134,1895582,1993,92798,7733.17,25.77,61.64,433.26
9330010.02,10.02,1902881,1510,36438,3036.5,49.73,61.87,328.26
9330024,24,1931721,1630,80613,6717.75,24.26,62.81,354.35
9330044,44,2007661,1121,86505,7208.75,15.55,65.28,243.7
9330028,28,2088355,1342,71138,5928.17,22.64,67.90,291.74
9330132,132,2116278,2165,135934,11327.83,19.11,68.81,470.65
9330007.02,7.02,2207127,1890,88550,7379.17,25.61,71.77,410.87
9330021,21,3106199,1424,135546,11295.5,12.61,101.00,309.57
