geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330160.04,160.04,44453,1113,486132,4.48,3704.42,30.05,270.8
9330161.01,161.01,48032,1357,622719,6.87,4002.67,33.9,330.17
9330161.02,161.02,34770,770,445752,4.11,2897.5,26.57,187.35
9330161.03,161.03,37350,912,428659,3.95,3112.5,29.3,221.9
9330161.05,161.05,36183,800,452021,4.17,3015.25,26.53,194.65
9330161.06,161.06,41140,1186,425447,3.92,3428.33,34.59,288.56
9330162.01,162.01,38316,852,442071,4.07,3193,26.68,207.3
9330162.02,162.02,35197,860,459912,4.24,2933.08,29.32,209.25
9330162.03,162.03,25820,691,467838,4.31,2151.67,32.11,168.13
9330162.04,162.04,44932,1472,542846,5.40,3744.33,39.31,358.15
9330163.01,163.01,37265,863,403966,3.72,3105.42,27.79,209.98
9330163.04,163.04,36915,903,445112,4.10,3076.25,29.35,219.71
9330163.05,163.05,30573,814,359880,3.32,2547.75,31.95,198.05
9330163.06,163.06,28685,762,381804,3.52,2390.42,31.88,185.4
9330163.07,163.07,33067,833,378364,3.49,2755.58,30.23,202.68
9330163.08,163.08,32560,810,377895,3.48,2713.33,29.85,197.08
9330170.03,170.03,34966,821,284365,2.62,2913.83,28.18,199.76
9330170.04,170.04,46758,1090,656108,7.49,3896.5,27.97,265.21
9330170.05,170.05,31623,836,232343,2.14,2635.25,31.72,203.41
9330170.06,170.06,42391,1073,549795,5.53,3532.58,30.37,261.07
9330180.01,180.01,70630,1504,670367,7.75,5885.83,25.55,365.94
9330180.02,180.02,41912,1087,826475,10.63,3492.67,31.12,264.48
9330181.01,181.01,37354,940,455600,4.20,3112.83,30.2,228.71
9330181.03,181.03,53266,862,864911,11.34,4438.83,19.42,209.73
9330181.04,181.04,49693,795,573343,5.96,4141.08,19.2,193.43
9330181.05,181.05,36716,1620,321969,2.97,3059.67,52.95,394.16
9330181.06,181.06,37980,1234,397254,3.66,3165,38.99,300.24
9330181.07,181.07,53392,1255,673198,7.80,4449.33,28.21,305.35
9330181.08,181.08,48957,903,659576,7.55,4079.75,22.13,219.71
9330181.09,181.09,54786,1117,689393,8.10,4565.5,24.47,271.78
