geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330209,209,41407,871,428036,3.95,3450.58,25.24,211.92
9330210,210,35713,740,418489,3.86,2976.08,24.86,180.05
9330220,220,29010,957,594744,6.36,2417.5,39.59,232.85
9330221.01,221.01,39525,1302,577062,6.03,3293.75,39.53,316.79
9330221.03,221.03,39510,1002,631872,7.04,3292.5,30.43,243.8
9330221.04,221.04,28063,951,635174,7.10,2338.58,40.67,231.39
9330222.01,222.01,27648,854,513129,4.85,2304,37.07,207.79
9330222.02,222.02,34932,1001,354582,3.27,2911,34.39,243.55
9330223.01,223.01,26608,826,392648,3.62,2217.33,37.25,200.97
9330223.02,223.02,24234,827,452697,4.17,2019.5,40.95,201.22
9330224.01,224.01,25407,814,329499,3.04,2117.25,38.45,198.05
9330224.02,224.02,22591,642,540443,5.35,1882.58,34.1,156.2
9330225.01,225.01,28681,963,624746,6.91,2390.08,40.29,234.31
9330225.02,225.02,28707,803,320136,2.95,2392.25,33.57,195.38
9330226.02,226.02,30793,896,567913,5.86,2566.08,34.92,218
9330226.03,226.03,24155,948,313390,2.89,2012.92,47.1,230.66
9330226.04,226.04,23347,737,288890,2.66,1945.58,37.88,179.32
9330227.01,227.01,19291,756,187740,1.73,1607.58,47.03,183.94
9330227.02,227.02,28400,769,261384,2.41,2366.67,32.49,187.1
9330228.02,228.02,31636,1047,604868,6.54,2636.33,39.71,254.74
9330228.03,228.03,24110,903,330634,3.05,2009.17,44.94,219.71
9330228.04,228.04,29605,727,353965,3.26,2467.08,29.47,176.89
9330229,229,32931,825,485599,4.48,2744.25,30.06,200.73
9330230.01,230.01,39765,818,520894,4.99,3313.75,24.69,199.03
9330230.02,230.02,26645,771,480977,4.43,2220.42,34.72,187.59
9330231,231,40669,897,710531,8.49,3389.08,26.47,218.25
9330232,232,37692,989,630729,7.02,3141,31.49,240.63
9330233,233,27638,868,516693,4.92,2303.17,37.69,211.19
9330234,234,34706,1003,517967,4.94,2892.17,34.68,244.04
9330235.02,235.02,32712,972,356033,3.28,2726,35.66,236.5
9330235.03,235.03,28580,824,187102,1.72,2381.67,34.6,200.49
9330235.04,235.04,27317,854,241323,2.22,2276.42,37.52,207.79
9330236,236,40262,1291,731579,8.88,3355.17,38.48,314.11
9330237,237,30971,961,467528,4.31,2580.92,37.23,233.82
9330238.01,238.01,30721,1107,530760,5.18,2560.08,43.24,269.34
9330238.02,238.02,32081,950,610981,6.65,2673.42,35.54,231.14
9330239,239,30905,863,516161,4.91,2575.42,33.51,209.98
9330240.01,240.01,32984,1060,426667,3.93,2748.67,38.56,257.91
9330240.02,240.02,28771,771,511629,4.82,2397.58,32.16,187.59
9330241,241,35219,890,529700,5.16,2934.92,30.32,216.55
9330242,242,42428,841,631551,7.03,3535.67,23.79,204.62
9330243.01,243.01,29029,929,615244,6.73,2419.08,38.4,226.03
9330243.02,243.02,33881,962,492313,4.54,2823.42,34.07,234.06
9330250.01,250.01,42826,1046,666351,7.68,3568.83,29.31,254.5
9330250.02,250.02,60874,1266,913372,12.23,5072.83,24.96,308.03
9330251,251,0,515,0,0.00,0,,125.3
9330260.02,260.02,35500,903,370479,3.41,2958.33,30.52,219.71
9330260.04,260.04,35540,1141,429376,3.96,2961.67,38.53,277.62
9330260.05,260.05,38729,723,400432,3.69,3227.42,22.4,175.91
9330260.06,260.06,50096,999,621441,6.85,4174.67,23.93,243.07
9330260.07,260.07,38719,1010,348300,3.21,3226.58,31.3,245.74
9330260.08,260.08,50195,1252,587834,6.23,4182.92,29.93,304.62
9330280,280,40312,1331,509276,4.78,3359.33,39.62,323.84
9330281.01,281.01,38839,876,509413,4.78,3236.58,27.07,213.14
9330281.02,281.02,34120,982,426407,3.93,2843.33,34.54,238.93
9330282,282,30813,784,337081,3.11,2567.75,30.53,190.75
9330283,283,33402,767,460788,4.25,2783.5,27.56,186.62
9330284.01,284.01,30423,852,411841,3.80,2535.25,33.61,207.3
9330284.02,284.02,33044,851,439898,4.05,2753.67,30.9,207.06
9330285.01,285.01,27516,716,264951,2.44,2293,31.23,174.21
9330285.02,285.02,39724,969,556905,5.66,3310.33,29.27,235.77
9330286.01,286.01,36711,1067,500899,4.63,3059.25,34.88,259.61
9330286.02,286.02,36216,912,441181,4.07,3018,30.22,221.9
9330286.03,286.03,42569,1020,523522,5.04,3547.42,28.75,248.18
9330287.01,287.01,30611,983,375715,3.46,2550.92,38.54,239.17
9330287.02,287.02,38744,925,543609,5.41,3228.67,28.65,225.06
9330287.06,287.06,28425,893,512583,4.84,2368.75,37.7,217.27
9330287.08,287.08,31998,927,288185,2.66,2666.5,34.76,225.55
9330287.09,287.09,27873,779,209928,1.93,2322.75,33.54,189.54
9330287.1,287.1,42366,1261,632302,7.05,3530.5,35.72,306.81
9330287.11,287.11,36823,971,464082,4.28,3068.58,31.64,236.25
9330287.12,287.12,31851,1122,582267,6.13,2654.25,42.27,272.99
